time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.025015,-4.429731,4.936122,-6.803666
0.058119,-4.602269,5.179442,-6.898689
0.091291,-5.114048,5.289429,-6.772092
0.124965,-4.910533,5.385500,-6.708194
0.158028,-4.774508,5.184380,-6.813094
0.192420,-4.676941,5.203235,-6.783614
0.224644,-4.856213,5.078283,-6.666444
0.258262,-4.620825,5.101328,-6.735279
0.292159,-4.763584,5.191862,-6.844070
0.324637,-4.789472,5.241244,-6.720614
0.358223,-4.776304,5.146969,-6.753835
0.392212,-4.742185,5.063468,-6.857687
0.425024,-4.467141,5.298857,-7.049829
0.457999,-4.709114,4.996578,-6.743659
0.492151,-4.950189,5.222539,-6.762365
0.524630,-5.146820,5.105967,-6.448115
0.558976,-5.821859,5.154152,-6.170228
0.592115,-5.131257,5.211166,-6.261959
0.624682,-4.896317,5.359312,-6.222752
0.659027,-5.118088,5.852685,-5.953545
0.692094,-4.779446,6.611225,-5.525117
0.724683,-4.852023,5.729978,-3.837444
0.758844,-4.953481,6.551069,-4.550492
0.791940,-4.868184,7.066290,-4.638333
0.824686,-5.060027,7.089335,-4.053229
0.858854,-5.044763,6.626339,-4.449633
0.891325,-6.101542,4.717195,-4.865191
0.924625,-7.016608,5.127815,-6.963186
0.958333,-8.192502,4.547200,-8.575588
0.991601,-8.431183,3.156718,-8.791373
1.024989,-10.611331,1.157787,-9.896636
1.058504,-10.183651,0.483496,-10.097457
1.091333,-11.060260,0.273996,-9.554253
1.124999,-11.479709,2.353734,-9.739062
1.158134,-11.162466,2.088118,-8.861406
1.191336,-10.257874,1.630809,-8.831179
1.224989,-8.384644,5.283743,-8.382100
1.258022,-5.371583,3.933215,2.632070
1.291797,7.207702,3.025182,1.763692
1.325227,-0.940506,5.466307,3.540552
1.358545,1.891636,10.886225,1.589208
1.391394,2.408054,11.059512,2.028111
1.424864,-3.394950,11.693698,-2.319316
1.458490,-2.689682,12.698401,-4.229808
1.491293,-2.736221,11.597179,-8.003503
1.525488,-7.655883,15.003800,-11.950635
1.558639,-6.936699,16.833934,-15.014575
1.591376,-6.377483,14.994373,-18.030179
1.625431,-9.860572,11.294900,-22.891630
1.657956,-7.328464,6.776730,-25.459503
1.691290,-8.025501,2.694770,-24.237818
1.725129,-2.788447,3.965089,-22.097774
1.757998,1.304438,7.567145,-17.401529
1.791743,5.810486,11.529390,-11.880902
1.825488,2.327696,21.131230,-4.941210
1.857954,4.466094,19.536186,6.715377
1.891320,6.376286,14.229398,6.774935
1.925396,-3.684060,10.516457,8.465900
1.957986,-9.880624,7.985546,8.663728
1.991342,-17.095809,7.485290,4.224720
2.025153,-25.402190,10.129032,0.013468
2.058643,-19.242287,15.525605,-6.153318
2.091295,-23.357019,19.223133,-5.603081
2.125067,-11.708663,11.417607,-3.605796
2.158156,-9.537044,5.791631,-13.029860
2.191350,-13.147180,6.219311,-14.595874
2.225133,11.456514,-6.246994,-21.852060
2.258518,3.960899,-8.437169,-14.126743
2.291315,8.570351,-2.048762,-9.390095
2.325087,7.248704,2.038287,-1.368335
2.358511,-1.077429,11.728416,-1.360554
2.391374,-10.257874,18.175632,0.284771
2.424592,-16.537790,21.337288,4.465495
2.458018,-23.420169,27.152264,4.180126
2.491288,-12.922267,17.023831,2.569968
2.525137,-19.992747,-0.219377,-5.515240
2.558584,-1.018320,0.437706,-13.428958
2.592018,7.266213,-4.379151,-21.102648
2.624669,-6.594914,-4.450531,-7.238379
2.658477,1.469643,2.436337,-0.581662
2.691311,4.314206,7.791160,-4.462053
2.724822,-14.976565,26.340900,8.248469
2.759687,-13.552264,20.724950,8.428938
2.791386,-15.015024,22.577679,1.323293
2.824695,-14.917905,7.190493,-1.752169
2.858469,-13.164539,4.285175,-10.818437
2.891277,-5.174653,2.319166,-14.111779
2.927086,9.422867,-3.187544,-21.121354
2.958364,-1.012484,-3.091025,-13.040934
2.992412,5.820512,4.407883,-2.459083
3.025345,6.134762,11.622169,-3.436550
3.058364,-8.798107,22.767725,5.975692
3.092265,-12.589311,17.045828,5.483217
3.124619,-19.500421,27.310287,3.129483
3.157991,-14.959656,21.373203,5.961027
3.192455,-11.291009,5.398369,-6.482532
3.224607,-4.827332,1.284834,-12.202185
3.258474,11.241627,0.625059,-19.427695
3.292224,2.681003,-3.343323,-8.063061
3.325143,2.712129,-1.171704,-3.937705
3.358473,0.122258,3.886976,-1.403950
3.392625,-11.686366,11.415213,7.305269
3.424615,-13.659707,20.141492,5.658898
3.457918,-20.160197,20.466965,-1.291419
3.491572,-20.240555,14.050874,-6.599853
3.524976,-6.722709,8.596239,-8.215248
3.557909,2.738017,-1.310423,-10.154770
3.591668,2.246590,-2.973256,-18.577573
3.624882,-0.955021,-7.631341,-10.491766
3.658297,2.162640,-0.171940,-3.395997
3.691668,0.805378,7.494717,-0.466886
3.724887,-8.191305,18.855909,3.410213
3.758364,-14.498307,22.821447,7.318139
3.791878,-24.587384,22.130845,-0.006584
