time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.017415,3.473512,-3.016503,-8.312516
0.051032,3.461541,-3.177818,-8.701288
0.084117,4.054276,-3.449868,-8.572296
0.117630,3.304864,-3.489075,-8.368931
0.150722,3.264910,-3.449420,-8.271364
0.184282,3.568685,-3.463785,-8.618237
0.217600,3.424130,-3.443583,-8.255951
0.250767,3.471567,-3.413056,-8.324637
0.284253,3.322822,-3.184402,-8.211806
0.317460,3.483089,-3.376992,-8.508698
0.350693,3.799883,-3.472315,-8.261039
0.384581,3.412308,-3.260121,-8.099724
0.417834,3.224207,-3.088181,-8.049743
0.450939,2.908909,-3.106438,-8.349328
0.484120,3.624651,-3.335392,-8.918570
0.517877,2.894394,-3.255782,-8.579778
0.550819,3.190687,-2.969365,-8.147310
0.584431,4.107849,-2.847556,-7.408373
0.617510,3.976312,-2.343558,-6.185192
0.650833,4.487193,-3.066034,-6.472506
0.684422,4.619029,-4.324831,-5.398818
0.717870,5.437875,-5.277757,-4.651651
0.750817,5.604727,-5.982426,-4.710910
0.784415,5.949055,-8.498822,-1.408589
0.817787,8.849585,-12.388191,-1.623776
0.850816,6.931761,-12.664582,-1.506755
0.884326,6.428511,-7.226707,2.086921
0.917558,10.058400,-10.131426,0.097866
0.950702,12.063616,-11.778546,-1.341549
0.984137,15.832523,-10.759178,-4.179079
1.017514,9.015688,-13.321664,-7.752851
1.050706,10.565690,-12.062568,-13.372992
1.084751,14.069131,-8.254455,-19.840560
1.117869,2.505173,0.170144,-11.978619
1.150821,-4.815510,6.665845,-12.694062
1.184436,-4.095877,4.973683,-15.501214
1.217581,-4.039013,1.501667,-9.749837
1.250824,-4.415215,-1.925905,-4.885094
1.284264,-4.646862,-7.896808,0.654538
1.317635,-0.601864,-8.741393,4.984307
1.350824,-1.437919,-10.038797,2.111312
1.384266,1.856021,-5.012141,4.910982
1.417642,4.441852,-5.106715,5.837871
1.450822,21.143202,-8.261488,6.692631
1.484360,21.763172,-8.427292,3.834601
1.517520,19.697800,-18.352660,0.500256
1.550694,11.001301,-15.642925,-3.332099
1.584326,4.806531,-9.119540,3.392855
1.617821,3.291397,-13.743956,0.698833
1.650822,5.027853,-12.558934,1.136538
1.684559,19.907450,-11.523854,0.341784
1.718023,27.136402,-10.820083,-1.842703
1.750816,35.981198,-4.362242,-13.007564
1.783828,0.910727,-0.309611,-11.918612
1.817337,5.041621,-1.098230,-15.924404
1.850701,-11.279187,-8.199536,-16.660049
1.884456,1.632904,-2.033947,-7.597522
1.917840,3.809460,-13.345308,0.563855
