time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.031574,-5.187073,5.320854,-5.912393
0.066780,-5.479625,5.281947,-6.253429
0.098387,-5.632710,5.549060,-6.035100
0.132418,-5.429645,5.494889,-6.132967
0.165509,-5.517784,5.455683,-6.103786
0.199816,-5.262643,5.493842,-6.219759
0.231429,-5.102675,5.329982,-5.970754
0.265086,-5.183183,5.273567,-5.813030
0.298627,-5.696757,5.449846,-5.800909
0.331409,-5.196800,5.307985,-5.898626
0.365378,-4.702979,5.691819,-5.555345
0.398516,-5.424856,5.259201,-4.548397
0.431258,-5.018875,4.723031,-3.379536
0.464810,-4.772563,4.626661,-2.356577
0.498099,-6.009810,5.205928,-1.648167
0.531317,-5.941424,7.075418,-1.366390
0.565237,-6.474601,8.965408,-0.783530
0.598400,-6.654622,9.986272,-0.453418
0.631528,-8.273459,11.025692,0.101907
0.665131,-8.603721,11.660777,-0.749711
0.698183,-9.748340,12.141280,-0.735645
0.731308,-8.309523,11.071932,-2.330689
0.765094,-10.989179,10.989628,-4.927293
0.797930,-11.576827,9.121037,-4.628606
0.831539,-11.610048,9.137647,-9.077341
0.865190,-13.018637,11.541212,-11.986400
0.898306,-9.225488,6.841227,-9.600044
0.931558,-7.416903,3.249048,-19.661437
0.965164,-0.562957,0.442045,-16.317366
0.998111,4.423146,-0.206358,-10.691390
1.031734,3.294389,2.071507,-9.980287
1.065018,1.007696,4.351767,-7.665310
1.098217,-1.153448,5.613406,-1.410983
1.131523,0.492924,4.735750,0.137522
1.165043,-0.080508,3.067680,2.348347
1.198000,-1.813673,1.881311,5.667876
1.231767,-2.033947,0.542007,4.247615
1.265065,-4.204069,-2.396981,6.617810
1.298055,-8.530247,-7.761531,7.099061
1.331502,-14.539309,-2.928512,2.093355
1.365063,-13.246693,12.594699,4.738145
1.400292,-8.322243,22.008736,1.799307
1.431595,-6.023877,16.201991,1.564816
1.465013,0.872867,15.034328,5.154601
1.497981,-4.193444,12.392980,4.927892
1.531463,-6.613620,13.307747,10.468871
1.565122,-13.955402,14.697930,13.624990
1.599281,-24.722062,10.764715,8.176491
1.631678,-32.431068,7.301678,-0.569541
1.665112,-11.655689,6.871305,-11.504550
1.700159,-0.745521,6.473554,-20.353087
1.731517,-0.750609,4.077172,-11.783035
1.765010,2.447560,5.399417,-7.867478
1.798004,2.423318,2.580144,-6.804414
1.831936,-8.193251,6.583990,-6.023278
1.864672,-21.829165,17.611628,1.667471
1.897991,0.317393,11.345928,6.507074
1.931680,8.249067,4.850526,17.680464
1.964713,2.707041,7.136771,5.926310
1.997986,-8.503311,11.096174,7.883939
2.031942,-16.372734,16.612013,11.683822
2.064847,-21.425877,14.937359,5.973447
2.097853,-19.305137,7.430371,-8.134740
2.131680,-8.695003,5.480374,-17.567483
2.164777,-5.517635,10.907774,-19.515236
2.197985,0.575676,8.148657,-8.568705
2.231850,-2.832442,3.448671,-5.945763
2.264747,-11.872372,16.118790,-3.028474
2.297991,-9.218305,14.518209,4.742335
2.331683,-1.561375,4.813116,12.889944
2.364761,6.141945,1.509299,11.747869
2.397991,5.552801,5.465260,6.218562
2.431779,-9.042325,15.540570,3.489374
2.464729,-18.973080,12.686729,3.694235
2.497862,-22.609852,-1.525161,-0.127645
2.531295,-15.110047,4.144661,-13.471157
2.564744,-7.145900,8.562270,-16.311979
2.597987,-4.352515,13.912305,-15.327927
2.631795,-5.473939,9.348494,-5.208023
2.664848,-5.234660,9.804756,-2.345354
2.697868,-10.438044,12.309180,3.900443
2.731690,-2.582837,11.049186,15.025050
2.764757,2.612018,5.362904,7.678778
2.797964,14.752251,0.352409,7.172985
2.831779,4.146606,3.757684,6.070416
2.866718,-10.007971,29.633194,9.970710
2.897946,-32.053818,0.049981,4.668261
2.931682,-13.904673,0.331160,-18.383636
2.964443,-12.114045,9.377226,-18.294150
2.997854,-3.035956,15.935926,-19.380557
3.031768,-5.400614,12.405999,-5.433984
3.064883,-3.295437,13.420129,-6.493456
3.097986,-10.737779,15.728820,5.213560
3.131918,-3.245007,12.219095,14.494416
3.164686,1.793770,3.703663,10.443432
3.198021,11.168152,-1.876672,5.658449
3.231776,3.472315,3.094018,13.062333
3.264867,-4.798151,17.374594,8.026997
3.298112,-33.854023,9.293126,11.830322
3.331689,-23.096491,-0.299735,-3.936058
3.371059,-3.235580,13.374787,-24.809603
3.398707,1.352174,11.925645,-26.566561
3.431475,3.753494,7.183610,-19.281045
3.464773,5.200242,5.859120,-7.615030
3.498994,-5.297510,26.627616,13.866364
3.532064,-0.620420,22.806633,19.781600
3.564525,11.347724,12.550404,20.196710
3.597978,2.942130,14.303621,16.944370
3.639649,-18.122359,19.015129,15.411278
3.664513,-23.004461,1.928449,7.007929
3.697842,-20.889108,7.691947,-14.558463
3.732152,-10.370406,10.219566,-21.809711
3.764784,-4.612744,8.517228,-21.149936
3.797865,-4.371370,0.791761,-8.924705
3.831779,0.478857,0.299136,-3.794496
3.864685,-8.736903,13.437637,2.691029
3.898265,2.992560,14.233738,15.287523
3.931411,12.022165,16.443515,17.713086
3.965791,-0.164158,4.966051,11.228758
3.998061,-17.074111,6.256721,9.321110
4.031612,-33.432629,11.531336,5.530803
4.064484,-15.744832,10.236475,-12.043115
4.097857,2.649129,4.236841,-26.895476
