time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.019135,6.111867,-0.005088,-7.977765
0.051762,5.954143,-0.019005,-8.041662
0.084925,5.724142,-0.018107,-7.813307
0.118261,5.765743,-0.028582,-7.843535
0.152026,5.737909,-0.258433,-7.819293
0.185433,5.718007,-0.081705,-7.943945
0.219286,5.738657,0.044145,-8.013081
0.251623,5.877825,-0.029929,-7.947537
0.285033,5.768586,-0.273398,-8.045403
0.318543,4.327824,-0.023644,-8.093888
0.352211,5.596197,0.379644,-8.263284
0.385157,5.882464,0.676236,-8.203127
0.418971,5.644831,0.509684,-7.780535
0.451950,5.374875,0.348668,-7.808668
0.485345,5.538285,-0.108192,-7.529135
0.518463,4.747871,-0.481401,-6.975007
0.552073,3.506434,-0.745222,-5.180788
0.585511,2.737568,-1.919470,-2.472700
0.618677,4.331864,-2.549766,0.231198
0.651942,6.077000,-4.381845,1.448544
0.685218,8.122769,-10.052714,-0.371115
0.718724,9.085721,-9.272027,3.856299
0.751562,12.516136,-15.971990,2.435738
0.785070,14.391910,-17.115412,1.723288
0.818469,14.618619,-18.573533,0.246013
0.851712,12.625076,-20.710883,-2.088866
0.884874,10.598611,-18.431522,-9.663792
0.918481,5.455982,-19.020666,-14.515964
0.951741,-5.398968,-16.969959,-12.852234
0.985063,-7.544848,-13.063081,-13.285450
1.018538,-8.589804,-10.057652,-10.150281
1.051572,-9.609023,-6.909613,-5.330880
1.084893,-7.068385,-5.717408,-4.505899
1.118605,-3.487579,-7.503995,1.209863
1.151911,-1.386442,-7.071228,-0.010026
1.184995,3.945785,-5.923766,-1.448693
1.218401,8.450786,-3.493415,0.209350
1.251970,11.612143,-5.656653,-3.933215
1.286406,26.476476,-10.550875,-0.050729
1.318790,23.212913,-10.225701,-1.614498
1.351604,17.361425,-18.595081,-1.646671
1.385068,11.533431,-12.518979,5.774123
1.418335,13.304156,-15.286177,7.774550
1.451726,13.467865,2.731882,6.472057
1.484919,13.983086,-19.536785,-11.214691
1.518545,11.976224,-10.849712,-9.283250
1.551796,1.174547,-8.069795,-15.385689
1.584902,-14.784424,-3.438945,-10.400185
1.618313,-14.512373,-4.973084,-10.661162
1.651842,-9.297167,-5.873935,-6.978898
1.685030,-1.903159,-5.707681,-16.379618
1.718257,11.464146,-2.928363,-8.604769
1.752162,24.341221,-10.633927,-1.174697
1.784919,10.021738,-8.138182,10.656074
1.818545,6.129974,-6.682156,14.143802
1.851968,5.552651,-18.502453,3.462289
1.884945,24.493857,-9.798171,-5.082024
1.918239,17.365615,-4.591195,-8.963762
1.952085,5.233014,0.142610,-6.795286
1.985259,-2.261853,-5.462416,-13.383916
2.018324,-11.723328,-4.248214,-9.468508
2.051971,-11.011925,-5.785496,-13.598952
2.084978,-3.075462,-5.511799,-17.939346
2.118875,12.675805,-7.795350,-11.287867
2.152382,23.439473,-7.814205,0.290906
2.184932,9.522679,-13.262405,2.263798
2.218812,12.062568,-9.141538,14.522549
2.251737,20.478787,-9.181493,7.128092
2.284999,12.250370,-7.326070,-3.919897
2.318433,12.550404,-6.856490,-10.678371
2.351757,6.710588,-4.024198,-5.665183
2.386273,-5.380861,-2.610072,-14.444136
2.419681,-14.653935,-6.867414,-12.950849
2.451974,-12.156095,-3.163602,-7.528686
2.485696,-3.248599,0.553829,-9.501280
2.519450,3.892063,-7.036511,-8.962565
2.551904,17.024579,-4.146905,-1.824148
2.585838,18.621718,-13.328398,-2.576253
