time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.025457,-2.772435,2.351489,-8.985311
0.059270,-3.641860,2.450254,-8.562120
0.092262,-3.769805,2.632369,-8.658341
0.126130,-3.639316,2.454593,-8.634997
0.161143,-3.460792,2.586279,-8.836865
0.194208,-3.238722,2.517144,-8.768777
0.227455,-3.576766,2.451750,-8.877867
0.259751,-3.402282,2.533605,-8.894926
0.293209,-3.483837,2.366603,-8.513636
0.325796,-3.324917,2.380520,-8.776260
0.359627,-2.965624,2.470904,-8.364293
0.392410,-3.085787,2.595108,-7.777243
0.426833,-2.334879,2.779318,-6.362070
0.459617,-3.083692,3.126191,-4.267518
0.493243,-4.412671,3.892812,-2.684445
0.527484,-5.551454,6.761916,0.148895
0.559451,-6.250287,7.807920,0.628500
0.593711,-5.578539,9.705393,-0.044145
0.627036,-6.825664,11.502904,-0.311407
0.659497,-8.566161,13.862474,-0.410920
0.693796,-10.148785,15.632002,-0.337146
0.725525,-11.118172,18.973828,-0.893668
0.758803,-9.165930,20.671228,-2.711829
0.792445,-7.784725,19.533492,-6.512611
0.825456,-4.768223,17.350202,-10.718475
0.860494,1.242635,13.586831,-12.882462
0.893765,4.520115,10.183203,-13.683950
0.926740,4.929538,6.743210,-13.008761
0.959092,6.156760,3.283914,-9.059683
0.993780,7.731004,1.159733,-7.598869
1.026856,5.714415,2.616357,-4.347577
1.059992,3.687352,3.101649,-2.631172
1.093734,2.228034,6.030611,-4.176535
1.125696,-0.491427,7.633885,-4.120568
1.160150,-5.369488,4.813565,-0.818547
1.193797,-6.939093,2.680853,-3.024284
1.225621,-9.938237,5.038478,-2.729787
1.258794,-17.303364,5.421115,-1.357411
1.292908,-22.577978,9.809544,-0.399098
1.325553,-20.531012,9.233269,1.677198
1.360493,-14.612634,13.535205,-0.566698
1.393423,-13.685446,23.856378,6.370300
1.425617,-11.145706,8.027746,7.707210
1.459157,-4.654644,6.514257,1.735559
1.493696,-3.724912,7.492473,-7.432017
1.525525,-10.788359,10.473510,-3.828615
1.558708,-6.321517,5.505663,-6.500939
1.592068,3.133673,2.426909,-10.731943
1.625390,12.118235,2.115502,-7.733996
1.658807,14.838894,3.330154,-3.036704
1.691877,13.172021,-1.295758,-5.927656
1.725390,4.361793,-1.925007,-4.429581
1.758822,-4.397108,-5.018127,-15.371323
1.794236,-29.236191,-0.741780,-6.236220
1.825626,-19.850137,-0.064496,1.115139
1.860119,-5.923766,20.992062,7.715590
1.893738,-0.676536,16.540933,6.806809
1.925536,-14.659921,14.402385,10.458246
1.960134,-13.643696,10.190236,2.940783
1.993473,-8.704281,4.118473,-1.093591
2.025684,-5.733270,0.044294,-9.651671
2.059187,2.705844,7.502648,-14.831262
2.093025,10.389111,3.953417,-10.610732
2.125565,8.374319,-3.466329,-8.069047
2.160152,4.670656,3.188442,-9.724397
2.193590,-2.530911,-3.089379,-19.138585
2.227030,-21.248700,2.621744,-8.085807
2.259045,-22.901656,9.701203,3.523642
2.293808,-4.944802,14.925687,5.205330
2.325632,-6.005620,8.381501,7.939307
2.360179,-19.865999,9.054146,4.336054
2.393336,-9.971757,15.351421,2.573260
2.426780,-6.724655,8.672856,-5.768137
2.461362,-1.807537,0.900102,-8.471287
2.493143,9.260205,4.074179,-14.501299
2.526870,13.503181,-2.072854,-7.984050
2.560595,11.288016,-1.058425,-6.615116
2.593293,2.797425,0.141113,-13.878934
2.625802,-12.920322,-0.050280,-18.685615
2.659475,-26.451486,7.099361,2.052203
2.692849,-12.082022,7.806274,9.371838
2.727663,-4.129547,9.876883,4.034374
2.760257,-15.725079,10.176319,10.441486
2.793065,-12.136193,11.814760,0.989738
2.826595,-7.579715,10.228993,-6.689638
2.861339,-3.030868,3.802427,-12.893835
2.893261,12.177793,2.768993,-16.706588
2.926350,8.306231,-2.148424,-8.112593
2.962031,4.917417,-1.528154,-4.035272
2.992776,-0.216384,0.909380,-21.247203
3.026454,-21.665007,4.328422,-11.161867
3.060657,-18.910230,4.925797,4.135383
3.092810,-2.380969,12.064963,9.425111
3.126439,-9.644787,5.722945,3.418593
3.160243,-14.976565,16.005361,3.203407
3.193090,-13.891804,11.656587,-0.215336
3.226566,-5.653511,5.357367,-6.451107
3.261438,0.731754,2.043225,-11.422396
3.293698,9.920729,2.939736,-13.469362
3.326711,13.368203,-1.023408,-14.112527
3.360670,3.149834,1.003356,-16.496938
3.393009,-9.140640,-1.610607,-18.359693
3.425644,-18.828375,2.852195,2.099939
3.459535,-7.605603,8.832076,10.125141
3.492913,-1.551049,13.450058,6.307301
3.526735,-13.810099,7.541406,0.931677
3.560260,-10.795691,13.453350,2.575954
3.592983,-11.031678,7.232244,-5.820811
3.626374,-2.215464,1.840758,-11.286221
3.661061,7.595726,3.904783,-14.907730
3.692889,11.998820,0.155928,-10.848066
3.726248,8.765336,-2.404014,-9.397577
3.761581,-2.600495,1.798110,-17.379233
3.793283,-17.324463,1.986360,-14.628197
3.825663,-20.159898,6.314783,4.420752
3.859904,-3.572875,16.167424,10.456600
3.892649,-9.029904,6.375089,2.401769
3.925750,-15.507948,8.669414,1.309525
3.959996,-13.245047,11.696691,-1.502415
3.993948,-7.317690,7.076465,-7.088437
4.025653,5.682092,3.374448,-13.391398
4.059850,13.571867,3.415451,-14.198123
4.092029,9.174609,0.487537,-7.465537
4.125437,0.251251,1.969750,-13.259562
4.158810,-7.162959,0.786374,-18.381092
4.192104,-19.913137,6.471908,-6.165738
4.225553,-11.409078,9.103379,12.895331
4.259554,-2.546474,11.331563,7.605603
4.294249,-16.636854,10.298128,-0.589593
4.325402,-17.281665,13.699363,4.162767
4.359174,-8.666871,10.677024,-7.375302
4.394188,1.498076,2.881824,-11.951833
4.425400,7.972078,2.139894,-13.246094
4.459212,10.491018,0.818846,-10.184400
4.494108,7.660522,3.086535,-14.460297
4.525396,-3.955961,-0.582410,-20.688586
4.559283,-22.828929,5.065264,-4.882101
4.592956,-9.920280,5.660993,10.505683
4.625586,0.841442,11.676938,6.805163
4.660538,-10.063638,3.294689,5.136943
4.692030,-17.623899,18.775551,5.856277
4.725342,-8.081767,12.387443,-2.595258
4.758554,-2.638205,5.735964,-8.702486
4.792101,-2.213967,4.636238,-11.189701
4.825511,13.583240,0.181517,-12.657249
4.858736,11.142264,-1.913784,-11.677687
4.892163,2.418080,1.503463,-15.960019
4.925602,-17.265504,-2.294775,-12.213857
4.958735,-19.552796,1.504510,1.679892
4.992924,-2.084377,11.074326,11.362988
5.025170,-6.689339,10.275383,4.792166
5.058799,-16.026909,13.359075,5.530504
5.092404,-14.152033,13.910509,1.920667
5.125047,-7.350462,10.658020,-8.763839
5.158738,0.226410,5.315766,-9.546621
5.192107,16.236709,0.284022,-15.245623
5.225334,11.456664,-0.498910,-7.636579
5.258452,2.987173,-0.830967,-6.954656
5.292016,-11.162167,-1.647270,-15.735255
5.325353,-22.532487,5.420965,-2.642096
5.358917,-13.257467,4.677988,10.625098
5.392114,-7.318737,12.406897,3.387916
5.425435,-14.246757,7.632090,3.569433
5.459950,-15.408734,12.699748,1.203429
5.492792,-7.349414,9.333680,-6.254926
5.526130,-0.525396,5.722646,-6.405766
5.559094,5.969108,3.355593,-11.328270
5.592828,13.576955,2.387104,-10.433256
5.626181,8.885200,-0.528838,-2.838876
5.658990,3.187544,-4.698190,-17.073063
5.692524,-15.363243,-4.767774,-9.775725
5.725436,-17.177813,4.214544,-3.457051
5.759115,-10.315337,8.940867,10.371453
5.793931,-7.917908,8.397214,3.335541
5.825403,-13.668836,13.405314,0.711851
5.859001,-17.401080,16.524472,3.683461
5.892279,-3.234682,7.798193,-7.879300
5.925538,4.756700,-0.106396,-14.455509
5.959273,12.065860,3.579310,-15.138629
5.992222,8.601327,-2.294775,-10.429365
6.025540,6.944331,1.419064,-16.652117
6.059518,-6.839730,2.210675,-19.324142
6.092143,-24.203101,1.831779,5.457329
6.125437,-6.783764,4.126255,10.855099
