time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.030842,5.629119,0.085895,-8.562120
0.063791,5.261745,-0.026786,-8.397513
0.097566,5.243339,-0.087840,-8.341247
0.130352,5.303346,-0.087990,-8.205372
0.163636,5.189318,-0.039955,-8.152248
0.197646,5.224035,-0.158023,-8.202229
0.230446,5.290028,0.034867,-8.108253
0.263646,5.254413,0.050280,-8.233654
0.297160,5.274914,0.198127,-8.087603
0.330203,5.349286,0.215635,-8.233205
0.364031,5.284491,0.137223,-8.094786
0.397453,5.480074,-0.073325,-8.169158
0.430188,5.365298,0.059558,-8.057076
0.463762,5.332526,0.027834,-8.031636
0.497319,5.393581,-0.175531,-8.053185
0.530185,5.221342,0.014515,-7.673092
0.564039,4.900657,0.015413,-7.172835
0.597282,4.291760,-0.276241,-5.940675
0.630206,3.420838,-1.024456,-4.486894
0.664008,3.233934,-3.273888,-2.965923
0.697083,3.797339,-4.557226,-3.470220
0.730191,4.459809,-4.970540,-5.138140
0.764015,4.157380,-6.351894,-6.205843
0.797375,4.828978,-7.132581,-7.112978
0.830499,4.171447,-7.637028,-7.374853
0.864008,3.099704,-8.585614,-6.816835
0.896778,3.160459,-9.187179,-6.076551
0.930188,2.260207,-10.500895,-5.695560
0.964016,3.386270,-14.534221,-5.117041
0.997052,4.757299,-18.266316,-4.586407
1.030322,7.138717,-17.195321,-4.591495
1.064027,7.519558,-13.039587,-4.200328
1.097108,8.772967,-14.254389,-9.496491
1.130185,7.065990,-12.380111,-10.175271
1.164021,3.150583,-11.580868,-14.744619
1.197173,2.392192,-9.161291,-16.887207
1.230184,-1.623327,-2.877784,-17.841031
1.264015,-3.356791,-1.518128,-16.943173
1.297046,-1.184873,-0.455962,-13.855740
1.330234,0.820193,-0.153384,-10.953415
1.364098,1.153897,-3.012911,-11.113682
1.396786,0.944696,-4.452925,-7.862989
1.430251,0.478409,-2.950660,-2.250181
1.463970,0.795203,-6.480138,-0.255740
1.496954,4.756551,-4.599725,-1.794967
1.530186,4.905146,-4.907690,0.291056
1.564032,0.229103,-1.547607,3.296185
1.597112,3.498054,-1.310124,-0.472423
1.630316,9.646583,-4.695197,-3.427272
1.664056,15.982166,-3.219718,4.615437
1.697008,12.580931,-2.506220,-3.970476
1.730401,20.869804,-3.537559,5.680596
1.764156,18.776449,-13.061734,-8.149256
1.797034,26.119578,-22.506299,-3.359484
1.830318,6.843172,-17.729846,-2.167428
1.864019,6.377184,-21.067482,-0.221920
1.896988,8.263583,-8.932487,2.130616
1.930316,11.438408,-7.491276,-9.874788
1.968502,24.071115,-11.642521,-9.084823
1.997193,11.939412,-5.813329,-9.090959
2.030320,0.238980,-2.892299,-10.289898
2.064394,0.748813,-1.463508,-11.297594
2.097316,-7.802982,-6.253429,-13.759070
2.130320,-8.166913,-4.516224,-7.096069
2.164018,-10.806166,-3.082495,-10.861684
2.197338,1.386592,-6.029264,-8.645023
2.230312,4.065200,-3.457800,-10.209240
2.264025,4.239983,-0.871221,-8.637690
2.297150,13.409953,-0.494570,-4.742035
2.330321,18.751309,-6.497048,-1.757856
2.364037,16.505767,-25.193887,7.370364
2.397005,10.381031,-22.542363,6.014150
2.430214,21.235531,-25.005187,13.297422
2.463635,20.076098,-13.199555,1.498524
2.496984,29.910183,-9.194961,-9.882271
2.530207,20.306249,-11.044398,-11.335154
2.563527,3.697528,-5.041471,-12.617444
2.596980,-6.000981,-7.854609,-14.055363
2.630323,-12.897277,-8.211507,-11.051281
2.664141,-19.875427,-10.895054,-6.072810
2.697104,-17.909418,-5.806296,-1.234255
2.730485,-1.215550,-3.391807,-6.227092
2.764025,8.938472,-2.814185,-8.030289
2.796656,12.300501,-3.664456,-6.289194
2.830529,12.131554,-8.681236,-8.207018
2.864018,21.669496,-16.376924,0.776797
2.896833,13.083432,-13.525627,4.104556
2.933104,17.404971,-22.054976,10.226898
2.963559,19.838016,-15.482658,1.314015
2.997125,24.451209,-5.086364,-5.961925
3.030928,18.275893,-3.079951,-6.752488
3.063537,4.722582,-5.237204,-12.046706
3.097322,-5.324895,-4.652998,-18.327520
3.130331,-8.572895,-9.509211,-13.504977
3.163659,-14.695087,-10.313691,-8.745732
3.196799,-11.931182,-2.811043,-3.504339
3.230523,0.539912,-1.850634,0.556522
3.263437,11.704922,-3.485484,-2.288490
3.297094,21.282968,-12.466305,-3.393303
3.330323,22.038815,-19.255905,2.389648
3.363678,15.499119,-17.955208,0.237932
3.397051,21.620413,-19.164922,1.676001
3.430447,19.370531,-0.904741,-0.177776
3.463936,14.921198,-0.134679,-6.067273
3.496626,18.833014,-4.746225,-10.780577
3.530721,1.558531,-3.320876,-8.230063
3.563952,-10.313691,-3.256231,-10.007821
3.597132,-11.000103,-8.144168,-13.476993
3.630378,-14.206503,-8.204324,-10.174823
3.665129,-12.111202,0.799842,-2.537944
3.696816,-0.715892,1.851682,-5.658149
3.730196,17.907771,-8.491040,-2.898734
3.765123,18.525946,-9.803409,-4.784684
3.797929,19.833078,-17.257423,-2.764504
3.830930,16.027807,-21.567290,1.610308
3.864039,16.649723,-19.680891,6.161548
3.897406,23.610664,-5.629418,-0.250802
3.930049,20.292033,-0.264569,-4.417161
3.963872,18.616032,-3.166445,-7.851316
3.997180,3.857496,-4.378702,-14.308859
4.030705,-4.544806,-6.465772,-11.762983
4.064167,-13.796481,-5.653511,-10.835795
4.096597,-12.934089,-6.903628,-11.607504
4.130703,-10.894007,-1.790029,-3.398541
4.164122,-2.565479,2.219803,-2.124930
4.197014,11.295349,-7.283870,-5.251570
4.230221,18.326173,-8.016373,-4.315403
4.263481,19.024407,-17.811401,-2.741309
4.296819,21.206351,-16.109213,1.559130
4.330389,17.234229,-15.504206,-0.215187
4.363856,16.689678,-13.855590,2.823463
4.397181,13.205391,-1.661635,-2.829000
4.430657,16.998990,-6.202551,-11.442149
4.463844,18.236836,-1.317307,-9.700604
4.496594,-1.664478,-1.299050,-13.216166
4.530715,-4.922056,-3.068429,-17.210435
4.563552,-10.187243,-7.576273,-16.979087
4.596989,-16.878677,-7.029328,-9.432145
4.630680,-6.336032,-1.871285,-4.739940
4.663782,3.699623,-5.820662,-5.694064
4.697084,20.536250,-11.074476,-3.743468
4.730544,20.236066,-17.044182,0.269657
4.763597,17.495804,-19.633304,-1.269271
4.796576,20.071010,-15.862302,-0.495318
4.830429,19.573597,-3.378040,2.275920
4.863795,16.164431,1.668968,-2.620996
4.896644,17.479942,-5.590212,-10.968828
4.930680,13.392894,-2.836482,-14.346569
4.963555,-3.746760,-0.954273,-13.528171
4.996862,-11.185960,-3.066034,-11.738591
5.030822,-10.479795,-9.146327,-9.207231
5.066547,-8.844048,-1.784193,-3.699473
5.096818,0.470627,-2.496194,-6.355037
5.130402,14.323973,-8.288424,-2.153811
5.164088,18.568894,-14.705263,-0.230749
5.197366,23.537638,-18.119217,0.624161
5.230439,20.850650,-17.765760,-0.803583
5.263519,15.498520,-15.103912,1.614498
5.297266,14.716336,-3.571528,-2.757920
5.330700,15.616439,-0.742678,-5.627622
5.363526,14.524195,-4.633694,-9.448905
5.396651,3.588887,-3.523642,-16.191816
5.430732,-3.897750,-3.565842,-17.040441
5.463723,-12.474086,-4.126404,-13.705349
5.496585,-15.347680,-6.939392,-9.891997
5.530791,-5.120183,-2.515797,-4.190751
5.563550,-0.093676,0.547544,-4.109944
5.596805,15.882653,-17.863477,-1.464556
5.630691,19.135143,-18.434964,-3.026678
5.663332,23.858473,-18.245815,0.987344
5.696577,15.705626,-16.886009,-3.786415
5.735126,22.434321,-9.229977,1.621531
5.763245,20.029708,-1.755162,-1.650711
5.796834,12.487554,-4.177881,-7.119263
5.830209,12.399714,-5.828293,-14.405678
5.863643,-1.011287,-3.491020,-14.246308
5.896909,-12.186922,-2.357625,-12.255907
5.930350,-13.994908,-5.356320,-11.005790
5.963685,-12.939027,-2.412544,-7.375003
5.996957,-3.868569,-1.157039,-3.252639
6.030767,2.302706,-7.058209,-5.573751
6.063794,19.375918,-16.967565,-1.105113
6.097156,19.733116,-23.552752,1.043161
6.130338,25.136274,-22.377008,-1.852280
6.163802,24.800625,-15.282885,-1.299200
6.196559,19.432783,-4.926994,0.074672
6.230211,16.151861,4.085103,-3.251741
6.263456,12.000466,-3.171682,-10.794045
6.296561,7.971330,-5.243040,-14.350160
6.330272,-8.241436,-3.156119,-10.015453
6.363479,-12.806144,-4.403393,-13.498841
6.396604,-5.614304,-4.554383,-10.572424
6.430713,-9.660500,-4.762686,-5.578689
6.463908,1.038073,-0.883791,-2.394736
6.497368,12.041918,-10.082044,-1.548056
6.530682,18.451574,-13.747099,2.171319
6.563288,19.787885,-17.663255,-1.284834
6.597198,22.835214,-19.832329,-1.030441
6.630744,16.239552,-16.027508,-1.118581
6.663438,18.017310,-2.924622,-1.748877
6.697253,16.829295,1.458869,-3.634977
6.730348,14.881841,-5.921820,-10.542944
6.764008,3.497006,-3.326712,-14.497259
6.797487,-7.743424,0.285668,-12.724738
6.830161,-12.785793,-6.538798,-13.053953
6.863713,-10.922888,-8.965109,-12.311425
6.896663,-5.455383,-4.064153,-1.630809
6.930215,2.669481,0.517465,-1.110500
6.964046,20.091212,-14.791008,0.513126
6.998175,19.231513,-15.260588,-0.525995
7.030187,21.553074,-23.057733,-0.156527
7.063901,22.836711,-16.493346,-1.223032
7.097156,23.836326,-6.915449,-0.642118
7.130188,13.475796,-2.734725,-6.008164
7.163878,11.684421,-6.661655,-11.808624
7.197145,4.508293,-4.660330,-18.067141
7.230769,-6.147332,0.482898,-13.798426
7.263223,-17.253383,-4.199430,-10.994267
7.296622,-11.122960,-7.468679,-5.343450
7.330667,-9.827651,-4.611547,-4.680233
7.363740,-1.536683,-2.356427,-4.394115
7.397096,9.976695,-13.604040,-2.647333
7.431057,21.772600,-12.338660,0.324426
7.463764,22.048841,-20.788398,5.401063
7.496794,26.098179,-19.643480,2.086023
7.530234,20.720311,-11.956920,-0.669054
7.563625,16.904415,-6.083435,-4.347726
7.596616,14.398495,-3.999507,-6.627088
7.630481,9.642094,-6.364015,-11.299090
7.663425,0.824383,-3.102697,-15.229013
7.696617,-9.867905,-4.599575,-12.136492
7.730459,-17.884427,-6.651928,-5.749731
7.763861,-15.614643,-9.884814,-8.705179
7.797176,-4.763883,-5.370087,-5.801358
7.830350,1.972144,-4.103808,-6.241607
7.863513,18.066243,-13.426564,1.081769
7.898692,20.966473,-18.999566,-0.669652
7.930641,26.459417,-20.886414,1.544465
7.963572,20.337374,-12.435927,2.814335
7.996589,20.746199,-4.177881,-0.424088
8.030570,16.074047,-4.661228,-3.574671
8.063791,11.716594,-6.413996,-9.299262
8.096827,4.370023,-5.627922,-13.249686
8.130388,-2.655863,-3.259822,-11.227411
8.163636,-14.792804,-7.413012,-14.254239
8.196693,-14.922544,-8.829832,-13.484925
8.230675,-9.535847,-3.450317,-5.763498
8.263219,-2.785454,0.545000,-5.395077
8.296607,10.827415,-9.243295,-1.740796
8.330738,23.610664,-16.783504,-1.904356
8.364317,26.446099,-22.999073,3.517507
8.396922,23.034539,-18.503201,0.874513
8.430786,22.233949,-8.551047,1.845098
8.463554,14.525392,1.561225,-1.834922
8.496919,9.705093,-8.233654,-6.530418
8.530683,10.792399,-5.803453,-12.267579
8.563578,-1.867394,-3.705309,-12.901467
8.596660,-14.738783,-6.852899,-11.726620
8.630711,-13.555706,-6.701460,-7.975819
8.663595,-12.371880,-5.674461,-7.867029
8.696699,-4.579523,-1.833276,-3.331950
8.730700,1.812775,-3.701418,-4.227713
8.763590,18.573832,-14.767365,1.028346
8.796605,22.524406,-19.580929,0.828274
8.830450,26.354517,-19.994542,1.405447
8.864404,21.420789,-15.860955,-0.108790
8.896866,21.352103,-6.044528,0.622664
8.930401,11.279038,-3.134272,-3.419192
8.963621,10.704708,-6.528473,-11.438258
8.997162,5.372032,-7.080805,-13.810248
9.030346,-3.398840,-2.007909,-12.828890
9.063512,-12.365146,-6.171425,-16.257359
9.096614,-11.014469,-8.480266,-10.700518
9.130936,-7.276388,-5.537986,-5.218050
9.163959,-0.861046,1.011137,-3.711145
9.196599,12.197995,-14.429172,-0.574779
9.230483,22.647712,-15.347381,1.457822
9.263893,22.479812,-21.526736,4.199879
9.297154,23.148567,-20.010704,2.568172
9.330629,19.519576,-5.849842,2.987771
9.363484,12.241092,0.396404,-1.556137
9.397119,9.991211,-6.862177,-9.701203
9.430967,6.796633,-7.830366,-14.190491
9.463203,-5.060625,-0.984950,-13.116953
9.496853,-12.385348,-3.275086,-13.434495
9.530952,-10.194875,-7.970881,-9.721853
9.563551,-12.680893,-6.770445,-7.554874
9.597181,-4.292957,-2.801466,-4.213646
9.630861,6.684850,-8.107056,-3.091324
9.663528,21.124197,-15.483256,1.436872
9.696841,22.114684,-22.631251,0.858651
9.729995,26.989901,-24.490265,1.473384
9.763792,19.696154,-11.536424,2.644789
9.796827,17.138906,-1.788084,-0.430672
9.830424,11.933426,-5.622385,-6.248790
9.863518,9.032598,-9.041427,-12.038027
9.896652,0.690602,-4.718392,-14.735790
9.930786,-10.327608,-2.140942,-12.638245
9.963289,-13.806058,-6.686945,-15.472482
9.996818,-13.113660,-6.402623,-15.667467
10.030746,-4.836460,-1.783295,-3.751998
10.063949,0.358395,0.030527,-3.524540
10.096836,19.401807,-15.227966,2.027063
10.130934,22.134436,-23.915188,1.463658
10.164727,24.057648,-22.631999,2.122386
10.196765,22.755006,-15.878463,1.369383
10.230319,17.457645,-4.840051,-3.049574
10.263278,12.131703,-0.873316,-4.411773
10.296803,6.889412,-6.551667,-7.779638
10.330392,2.072106,-5.822607,-14.441592
10.363593,-3.583949,-2.715271,-11.843790
10.396874,-15.012779,-5.453139,-14.342828
10.430694,-14.603655,-8.649362,-14.811060
10.463873,-7.209947,-4.178929,-8.535334
10.497094,-1.123819,0.248557,-1.348283
10.530691,19.216399,-12.662637,3.561203
10.564239,21.849816,-16.426157,2.813437
10.596915,23.506363,-21.585995,2.115802
10.630585,24.159554,-15.919466,1.688870
10.664021,19.545613,-9.677260,1.208666
10.696817,16.544823,-3.614027,-3.778484
10.730709,7.038905,-9.366601,-6.830303
10.763567,4.334707,-4.943455,-13.573513
10.796634,-3.079053,-2.679806,-15.763089
10.830395,-11.896764,-4.574585,-14.921796
10.863916,-14.279977,-5.505963,-6.749346
10.897317,-13.030309,-7.443091,-9.988667
10.930457,0.415409,-2.439629,-4.757299
10.963643,10.294836,-7.763476,-4.615437
10.998747,20.804560,-15.674500,5.970155
11.030297,22.991891,-19.530799,5.795821
11.063593,27.517542,-22.661030,3.369361
11.097948,20.745151,-12.889795,2.880627
11.130183,15.662229,0.971482,-0.404485
11.163717,10.699770,-6.802469,-7.951577
11.197721,8.975434,-7.655733,-14.938257
11.230165,-7.813307,-5.070352,-11.050234
11.264004,-15.998926,-3.749005,-10.602652
11.297118,-12.108958,-5.780258,-6.396637
11.330220,-8.928297,-5.537537,-6.813692
11.364011,-2.082431,-2.180597,-1.395271
11.397140,6.723158,-4.956773,-2.422719
11.430361,20.607031,-15.630804,0.657830
11.463814,24.010510,-16.416579,1.736906
11.497593,26.096533,-21.269500,2.205887
11.530287,24.452106,-13.713579,1.248022
11.563726,20.216014,-3.441788,-3.779532
11.596722,15.314908,-2.075697,-5.482469
11.630320,4.800246,-4.806681,-14.424682
11.664007,-3.429816,-4.765080,-13.507371
11.696590,-18.291905,-9.367499,-12.010343
11.730189,-15.016969,-4.353113,-1.015028
11.764013,-11.975626,-7.085444,-6.648486
11.797090,-2.038436,-1.373722,-0.218628
11.830319,5.759308,-2.221300,-0.827376
11.864167,21.767213,-14.432015,4.981165
11.897470,25.305670,-13.741263,0.712450
11.930822,26.675202,-24.369653,2.329492
11.963719,21.596919,-20.617506,3.199815
11.997179,20.523381,-7.978812,-2.785603
12.030318,12.379662,-3.609687,-7.264417
12.064168,7.674139,-7.056114,-14.912369
12.096667,0.413015,-4.833766,-15.598182
12.130316,-11.760439,-4.940163,-9.938237
12.164008,-19.123022,-7.985696,-3.096262
12.197076,-16.436332,-6.517699,-7.081553
12.230308,-4.641775,-3.676877,0.826179
12.264013,2.395035,-0.638676,-0.080508
12.296612,19.631060,-10.678072,2.630124
12.330331,26.859712,-19.509101,-1.138633
12.364205,26.694805,-16.812984,2.066719
12.397074,19.580480,-17.657718,-0.269208
12.430260,19.035481,-6.333638,-1.074885
12.464034,15.909440,-3.082645,-5.957884
12.496615,10.979453,-3.389113,-10.486379
12.530317,-3.007075,-6.504979,-14.757488
12.563734,-17.885774,-7.541107,-11.307919
12.596667,-21.075114,-6.069518,-11.446039
12.630313,-13.747548,-3.877997,-5.187971
12.664039,-4.814313,0.377100,1.010988
12.696567,7.667256,-4.563212,0.367822
12.730359,24.176015,-12.861213,0.349865
12.764481,24.541294,-21.536463,-0.117769
12.796666,26.367985,-18.974726,-1.287528
12.830155,21.993174,-13.537449,-0.051776
12.863652,17.369206,-0.745222,-2.667535
12.896588,13.968271,2.752832,-7.681771
12.930193,6.963934,-9.608723,-13.419830
12.964016,-3.937555,-3.693487,-12.785643
12.997688,-19.538431,-8.568106,-11.194490
13.030316,-13.805160,-7.149491,-4.847085
13.064017,-12.708128,-5.606074,-9.009254
13.096644,-3.533519,-0.755697,-2.083928
13.130311,8.413974,-9.025116,-0.211745
13.168383,24.498047,-14.991230,2.991961
13.197780,26.151302,-24.778029,3.540253
13.230148,23.036484,-19.522120,2.395933
13.263685,23.077486,-12.941721,0.529437
13.296929,14.585399,0.385031,-3.994868
13.330211,10.091471,-11.488837,-8.823996
13.364020,5.065264,-7.024689,-13.877737
13.396651,-3.973020,-2.037089,-13.671679
13.430317,-15.045102,-7.908779,-12.418270
13.464014,-15.657291,-8.505555,-3.609837
13.497325,-12.221788,-3.440740,-6.298322
13.530381,-2.522082,-1.261939,-3.907477
13.564018,8.519472,-6.214821,-0.579567
13.597302,22.332264,-10.673732,3.418892
13.630216,25.407876,-20.731683,7.285816
13.663751,26.198589,-21.819737,3.666402
13.696876,21.666204,-17.967180,1.627517
13.730279,17.091918,-7.016458,-4.838705
13.763743,10.065434,-5.061523,-9.704345
13.797088,3.650390,-7.586149,-18.846332
13.831695,-8.600429,-4.377655,-13.505875
13.863255,-20.892699,-4.690857,-11.633093
13.896568,-10.578709,-7.644510,-12.445654
13.930799,-9.115051,-2.795031,-5.102824
13.963820,-0.983005,0.728163,0.139168
13.997167,17.047324,-10.327608,1.941168
14.030903,20.942530,-9.656310,2.402069
14.063602,21.611883,-24.399881,2.217559
14.097294,24.222405,-24.206243,2.918786
14.130367,24.025474,-14.985993,0.042050
14.163624,16.720804,-4.443947,-3.937555
14.197488,9.904268,-8.212255,-5.089506
14.230358,2.523579,-7.508036,-16.114750
14.263549,-0.555475,-3.582751,-14.219372
14.296844,-17.346461,-9.222196,-16.084073
14.330451,-16.426606,-5.181237,-8.516928
14.363819,-12.208021,-3.586792,-6.961390
14.397285,-2.050857,0.870772,-1.380755
14.430489,8.147759,-11.231900,-0.116123
14.463688,22.538772,-12.416773,1.818611
14.497032,29.729714,-24.107030,2.016289
14.530529,27.893595,-21.361082,3.377441
14.563306,26.975535,-11.881650,0.493971
14.597114,11.327971,-3.345717,-2.052054
14.630148,3.936358,-6.462480,-13.798127
14.663287,3.862284,-5.019773,-13.320617
14.697091,-12.974343,-6.156012,-10.520797
14.730414,-15.271661,-5.100580,-10.208642
14.764382,-11.804883,-6.645943,-2.761212
14.797126,-11.455018,-3.736884,-5.215057
14.830388,-3.472165,-0.585553,-2.534503
14.864219,7.803880,-5.352878,1.475779
14.896575,25.599569,-10.233782,2.182692
14.930543,24.424273,-17.659963,4.115331
14.964465,24.639310,-21.504889,1.151203
14.996686,23.504717,-12.487554,-1.021313
15.030156,18.151989,-2.964876,-5.100281
15.063725,12.729826,-6.280215,-9.282651
15.096942,-0.613237,-5.812431,-13.582941
15.130262,-10.528130,-5.069005,-12.184677
15.164025,-18.315399,-10.563894,-8.856019
15.196720,-9.916240,-5.160587,-5.797467
15.230345,-9.957840,-2.704946,-1.696801
15.264128,-1.124716,-1.905853,1.228868
15.296796,20.573212,-11.992086,4.597929
15.330240,22.493131,-9.605730,0.836654
15.364162,27.147924,-21.648396,1.759053
15.396619,21.903687,-17.535759,-1.160631
15.432499,22.337053,-13.175014,-3.500897
15.464008,19.989155,-6.864721,-5.947559
15.497025,2.257813,-4.063405,-3.909871
15.530395,-2.549168,-6.547328,-16.377523
15.563582,-1.079225,-3.457051,-13.844367
15.597013,-17.700965,-7.097415,-11.290860
15.630306,-12.070948,-3.141155,-8.893430
15.663995,-7.331457,-3.221813,-4.933429
15.696811,2.087369,-0.312754,-0.021549
15.730093,16.642989,-12.585870,4.715249
15.763520,20.277068,-11.712105,2.446961
15.797210,26.539326,-21.864032,-0.322929
15.829915,22.117676,-16.253319,2.269934
15.863604,20.271980,-14.058656,-0.163560
15.897012,16.433788,-5.710824,-6.365811
15.930380,9.906662,-5.349885,-7.410618
15.963723,-0.808820,-4.509341,-16.017033
15.996587,-9.837827,-3.422933,-10.094315
16.030177,-16.210970,-10.026676,-10.694532
16.064044,-10.519750,-5.805697,-5.799113
16.096767,-7.799690,-3.582452,-4.197634
16.130301,0.719633,-0.205310,0.498461
16.164105,12.857322,-7.077513,2.741608
16.197554,21.978658,-9.377675,1.996387
16.230490,25.710903,-21.025283,2.420475
16.263603,26.082167,-21.698377,0.370217
16.296573,20.348149,-11.750263,0.520458
