time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.010329,-0.481102,-1.058873,-10.353646
0.036554,0.010924,-0.695241,-9.997795
0.070150,-1.000812,-0.996921,-9.529113
0.103227,-0.508187,-0.833661,-9.574305
0.136807,-0.566847,-0.699132,-9.128669
0.169898,-0.810915,-0.799692,-9.343107
0.203656,-1.314015,-0.683419,-9.348494
0.236743,-0.897558,-0.573581,-9.351487
0.270231,-0.491727,-0.732053,-9.171616
0.303131,-0.779041,-1.443306,-8.918869
0.336466,-1.643528,-1.881910,-8.884601
0.370091,-1.187716,-1.292466,-10.899843
0.403197,-1.869340,-1.202381,-10.658618
0.436511,-2.260057,-2.112210,-9.315124
0.470071,-0.711851,-1.967655,-9.564878
0.503183,-0.681923,-3.754542,-9.959486
0.536698,-0.483347,-3.928726,-9.513999
0.570206,0.512527,-3.851211,-9.310036
0.603235,1.880862,-2.678160,-8.044954
0.636910,2.653169,-2.032600,-7.587496
0.670016,2.706143,-3.392855,-5.940077
0.703628,1.235003,-4.584162,-4.017913
0.736471,-1.677946,-7.590938,-4.487044
0.770055,-5.080228,-9.507415,-3.800781
0.803120,-9.666934,-8.980223,-2.524925
0.836466,-14.099059,-8.362946,-2.329641
0.869977,-18.134630,-4.987150,-1.244880
0.903649,-14.438599,-0.255590,-3.112873
0.936468,-12.567763,1.608213,-3.661015
0.969823,-14.552178,2.162341,-1.856770
1.003641,-17.124391,0.867929,-1.286181
1.036991,-13.985929,1.180384,1.505707
1.069833,-13.180251,2.452798,3.311449
1.103360,-9.348494,3.119607,4.269014
1.136627,-6.459338,2.948265,3.200863
1.170185,-8.570351,0.815105,0.693894
1.203144,-11.776900,3.036854,-1.183077
1.236491,-14.051024,3.931270,-0.125401
1.270040,-11.064001,7.546943,2.932852
1.303168,-10.502241,8.651158,15.771319
1.336706,-2.790093,8.208215,19.142176
1.370119,1.979776,2.344306,19.924659
1.403708,0.685215,-23.169217,19.582875
1.436706,4.446491,-27.574706,18.774952
1.470057,4.952882,-31.024724,4.082709
1.503162,12.316213,-16.780361,-14.660220
1.536553,6.518297,-11.859802,-8.526505
1.569916,-6.180553,-12.713515,-14.792654
1.603639,-18.578022,-13.039886,-26.034431
1.636464,-12.404802,-0.168049,-17.649188
1.670048,-25.763128,-15.561520,-25.142409
1.703126,-14.432913,-8.436570,-15.438513
1.736923,-4.966051,-5.350633,-4.525053
1.769972,0.554577,-12.094143,0.787870
1.803135,-0.082753,-20.617356,-6.594016
1.836532,-0.293300,-18.406980,5.667278
1.869846,-3.027726,-13.507820,-2.450553
1.903143,-3.351254,-0.794754,-4.903201
1.936905,-3.184851,-12.310527,-5.977637
1.969836,-1.325537,-17.970771,-0.712300
2.003625,-13.352042,-11.020904,-0.434563
2.036457,-10.273138,0.304823,0.864338
2.070756,-11.321536,1.266428,1.375069
2.103142,-11.866237,8.560923,3.731945
2.136524,-18.129542,-4.031531,5.639145
2.169816,-12.903113,-14.150387,3.903885
2.203519,1.698597,-22.939216,-2.678459
2.236624,4.255097,-22.371770,-4.275598
2.270286,-2.304950,-28.035606,-2.401320
2.303405,1.281393,-23.202438,-6.415343
2.336808,4.005193,-12.382056,-6.107976
2.369846,3.003184,-6.798129,-4.510238
2.404374,1.862606,-4.954379,-0.143059
2.437059,1.936230,-6.555857,-0.353756
2.470464,1.740796,-9.375580,-2.165932
2.503451,-0.377549,-11.204366,-1.035080
2.536460,-0.712749,-9.236861,-1.760100
2.571274,-0.798794,-8.631405,-3.056158
2.603440,-0.214139,-10.600257,-2.071208
2.636522,-1.667322,-8.702934,-3.310401
2.670775,-2.441724,-9.120588,-2.105327
2.703124,-4.812816,-10.336437,-2.135554
2.736763,-4.315553,-9.152462,-3.192034
2.771067,-5.026806,-8.368034,-2.535700
2.803503,-4.684273,-8.898967,-2.435439
2.836453,-6.098100,-7.792806,-1.399311
2.870035,-6.124287,-8.555237,-1.400957
2.903502,-5.922868,-9.910104,-0.563106
2.936449,-4.941659,-9.246438,-1.302791
2.970631,-5.042369,-8.010836,-1.179186
3.003581,-4.653297,-8.340948,-2.050707
3.036996,-4.302684,-5.205180,-1.776112
3.070091,-2.179699,-8.737801,-2.163538
3.103523,1.826093,-14.930026,-3.608340
3.137276,3.730449,-12.661888,-6.295329
3.170267,-2.611269,-12.637646,-7.537216
3.203362,-10.894755,-10.545338,-9.480180
3.237330,-13.880730,-8.538178,-10.526633
3.270377,-16.313027,-9.490505,-8.070693
3.303300,-19.582575,-8.355763,-3.218072
3.336469,-24.297226,-8.387038,1.436423
3.370702,-21.563549,-10.238870,8.311469
3.403161,-19.705881,-13.503630,14.455060
3.437373,-11.830322,-10.671338,14.765270
3.469841,-4.310465,-12.105965,13.938193
3.503135,2.342810,-14.733545,16.977591
3.536937,19.374572,-13.314930,13.281709
3.570361,14.678926,-16.384257,-3.743468
3.603100,4.276795,-11.313755,3.540552
3.637305,2.867009,-11.689359,-5.286586
3.669787,-2.116251,-10.119604,-6.518147
3.703941,-1.984565,-6.250287,-9.170718
3.736515,-5.353925,-6.585936,-17.748252
3.769788,-16.173859,-4.681580,-22.053629
3.803643,-15.883851,-4.888386,-18.922650
3.836496,-11.836757,-9.500831,-11.274100
3.869827,-4.337401,-13.052606,-3.186647
3.903142,0.916114,-18.618875,-4.693701
3.936810,3.415301,-17.946080,3.045683
3.969837,4.554533,-9.143184,-11.489137
4.003115,7.577320,3.939949,-7.219075
4.036516,0.140365,-14.288956,-5.675508
4.069804,0.977767,-11.776152,-3.156269
4.103574,-4.835263,-15.874722,-4.555281
4.136738,-15.400354,-13.501834,-5.180788
4.169785,-26.139031,-1.917076,-3.651288
4.203654,-22.363989,0.333404,-6.319721
4.236580,-21.975067,-5.734767,-2.965774
4.270225,-24.529921,-27.158998,8.015176
4.303327,-17.609832,-27.721954,11.805332
4.336735,-16.377822,-22.000207,7.959808
4.370150,-5.203684,-7.649897,9.255267
4.403644,7.396252,-4.446790,2.481080
4.436912,13.014297,-10.944885,-1.841356
4.469773,4.432723,-9.889603,-1.358309
4.503476,2.659903,-13.915747,-0.184959
4.536925,5.908801,-7.224911,6.384367
4.569758,-0.905639,-10.541448,-6.229486
4.603502,-0.407328,-4.116378,-2.164585
4.636600,-9.704644,-6.515903,-11.660328
4.669783,-16.748039,-5.046559,-17.643352
4.703927,-13.285450,-6.250436,-14.943045
4.736392,-12.539630,-12.065860,-13.016542
4.769771,-6.950316,-16.291927,-7.335348
4.803538,-3.520350,-16.026460,-1.110351
4.836432,-2.388152,-18.329166,-3.367266
4.870356,3.246803,-4.881054,-8.739298
4.903701,1.820406,-0.272949,-7.480801
4.936940,0.209350,-7.745070,-4.839902
4.970332,1.665975,-14.258728,-4.839752
5.003104,-3.579010,-11.143012,-7.685362
5.036718,-7.619968,-0.572833,-3.435802
5.069756,-9.634312,-3.932916,-2.084077
5.103545,-4.907391,1.744837,-0.776048
5.136773,-9.774827,-1.284535,-3.218072
5.170182,-13.811296,-16.338915,-2.679058
5.203095,-10.169735,-19.462562,-3.296634
5.236779,-13.378229,-19.324741,-0.415558
5.269772,-16.509208,-19.625672,-4.350869
5.303151,-18.885090,-9.110712,-8.474280
5.336769,-19.008096,-0.345675,-5.448500
5.369741,-16.865508,4.244024,-2.782910
5.403099,-17.394945,3.549830,4.047542
5.436409,-15.500016,-7.316044,10.966134
5.469733,-5.222838,-14.673838,15.056026
5.503047,-0.767519,-14.310355,16.044417
5.536397,-1.555090,-27.183838,19.352873
5.569752,9.797423,-19.232560,18.248060
5.603069,12.940374,-14.095917,8.868440
5.636423,14.153230,-21.990330,-14.355248
5.669765,16.350288,-11.169200,-13.607183
5.704082,2.685492,-18.982357,-20.657910
5.736429,-4.151993,-23.511301,-24.490714
5.769777,-12.898474,-20.850051,-11.598526
5.803094,-6.320469,-12.138886,-15.537427
