time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.017269,0.120313,-4.594637,-8.706077
0.046080,0.130788,-4.662126,-8.770423
0.078683,0.149344,-4.679485,-8.690664
0.112353,0.074223,-4.740240,-8.368034
0.145555,0.154880,-4.579074,-8.540422
0.178710,0.039356,-4.441403,-8.570949
0.211311,0.019454,-4.843344,-8.336010
0.245529,0.317243,-5.109409,-8.262086
0.277973,0.229702,-4.877462,-8.509895
0.311991,0.369917,-4.648808,-8.857815
0.345448,0.181667,-4.764931,-8.750820
0.378232,0.085596,-4.708066,-8.595491
0.412786,0.085895,-4.835712,-8.409185
0.445523,0.208902,-4.695197,-8.577683
0.478001,0.166553,-4.937469,-8.594593
0.511992,0.259481,-5.211914,-8.239490
0.545415,0.293899,-4.974431,-8.452283
0.578067,-0.145453,-5.040573,-8.557332
0.612364,0.250951,-4.326028,-9.196607
0.645617,1.025802,-4.386783,-7.670697
0.678063,1.482363,-5.980480,-6.111418
0.715906,-0.009727,-7.065392,-5.523022
0.745390,-0.711103,-5.512846,-5.684487
0.778861,-2.193466,-5.654708,-5.454336
0.812369,-0.394908,-6.904974,-6.736776
0.845446,0.921052,-3.597716,-5.147867
0.878483,1.521270,-4.645516,-3.418892
0.911577,2.926866,-3.248599,-1.340651
0.945517,4.606758,-2.054747,-1.105861
0.978281,7.782331,-0.405383,-3.996065
1.012254,13.441977,-0.637778,-4.116977
1.045365,18.683371,-0.643165,-8.737502
1.078327,22.924402,1.646970,-17.792696
1.112093,29.566453,7.240624,-53.283364
1.145446,22.038665,3.112873,-47.024398
1.178750,11.647309,3.455705,-33.616540
1.212009,2.130616,7.890822,-26.416619
1.245374,-7.008378,16.345050,-22.677191
1.278846,-7.816001,25.131785,-12.169563
1.312455,-6.363267,31.413796,-7.313350
1.345749,-4.192247,29.091187,4.001003
1.378761,-0.204412,25.304622,10.164497
1.412052,7.817497,17.268946,13.183693
1.445580,19.139183,-0.749113,23.227279
1.479092,19.562074,-8.269718,19.275807
1.512652,34.762655,-13.302360,8.443753
1.544886,58.869835,-9.642243,-24.386114
1.579017,60.360428,-9.277114,-46.050073
1.612274,39.752050,-6.318973,-46.979505
1.645963,17.388959,-3.364722,-36.174985
1.678062,-0.217282,10.071719,-30.813727
1.712165,-10.145493,33.710366,-31.617909
1.745461,-11.710010,46.496458,-19.984965
1.779173,-1.029543,33.296753,2.429753
1.812125,2.863119,25.072077,16.054892
