time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.010535,-4.752061,-3.533519,-7.525095
0.035961,-4.413868,-3.413655,-7.759436
0.069331,-4.995381,-3.234083,-7.835155
0.103050,-5.632411,-3.095664,-7.454014
0.135545,-4.726173,-3.199366,-7.979560
0.169056,-4.742634,-3.477852,-7.936912
0.202280,-4.958718,-3.563896,-7.674887
0.235283,-4.895868,-3.632134,-7.684016
0.269432,-4.901555,-3.405275,-7.876905
0.302581,-4.750116,-3.267753,-8.072938
0.335643,-4.921308,-3.834451,-7.782630
0.369349,-4.679934,-4.069989,-6.907668
0.402626,-6.187885,-3.515562,-6.245648
0.435646,-6.519794,-3.268501,-6.283807
0.469419,-5.984670,-3.285561,-6.872203
0.502258,-6.178757,-3.212385,-6.640256
0.535644,-6.213474,-3.542497,-6.463378
0.569328,-5.774871,-3.864529,-6.703106
0.602524,-5.176748,-4.336802,-6.981592
0.635641,-3.806318,-4.540017,-6.811298
0.669442,-2.735772,-4.401149,-5.973447
0.702477,-2.644789,-4.461754,-4.750116
0.735640,-2.727243,-5.623283,-4.025395
0.769335,-5.240496,-8.700091,-3.033562
0.802339,-7.567743,-8.547904,-1.603125
0.835655,-8.937425,-8.642479,-1.261939
0.869434,-11.433918,-8.853326,-1.917974
0.902337,-12.294814,-8.131298,-1.508850
0.935705,-11.270957,-9.718112,-4.241629
0.969333,-12.883360,-7.278334,-5.643634
1.002226,-13.917393,-4.457265,-4.721534
1.035677,-13.191624,-5.930799,-6.422526
1.069442,-9.701352,-5.870942,-8.608061
1.102392,-9.628626,-5.602632,-10.400035
1.135516,-8.714307,-3.199815,-11.286670
1.169183,-6.571720,1.394223,-11.597179
1.202231,-4.908887,4.877163,-9.526420
1.235652,-4.565906,6.594914,-8.296953
1.269432,-3.863182,6.007266,-4.938517
1.301904,-2.243148,4.398904,-3.022638
1.335722,-0.827376,1.213006,-1.670464
1.369333,1.715956,0.192740,0.512228
1.402375,2.939287,1.089550,0.511180
1.435646,2.506220,0.991235,0.292103
1.469442,2.226986,-1.677348,-1.454230
1.502370,1.807687,-8.524859,0.785625
1.535632,-3.644404,-15.903005,4.131043
1.569333,-4.993286,-4.087497,7.073173
1.601884,-7.497261,-7.167448,7.648550
1.635661,-9.453544,-5.139637,9.347147
1.669013,-11.027638,-8.887145,6.422675
1.702331,-18.037961,-8.446297,7.948584
1.735544,-21.719626,-4.513231,6.708344
1.769485,-22.380898,-10.249794,8.298300
1.802248,-21.060299,-15.659237,8.050042
1.835532,-15.871580,-22.587555,9.714670
1.869102,-10.505234,-16.385903,3.610136
1.902214,-3.201312,-15.087002,1.566163
1.935715,-3.326563,0.866133,-2.349245
1.969339,-1.002458,-7.650196,1.831181
2.002397,-11.391270,2.177604,4.598079
2.035729,-12.454932,-2.731283,-3.194129
2.069448,-12.741199,0.789367,-5.116292
2.102376,-14.577468,-16.487510,-7.308861
2.135668,-15.584415,-8.728523,-5.188121
2.169336,-8.523662,-8.220635,-6.394243
2.202409,0.724571,-11.027189,-9.216060
2.235734,4.499913,-7.339388,-8.184422
2.269436,2.915344,-5.158043,-8.027297
2.302515,-1.541921,-3.815446,-7.014663
2.335733,-10.120203,-6.819528,-6.807557
2.369338,-8.498373,5.028901,-0.290008
2.402386,-6.210033,7.695837,0.635534
2.435656,-6.967076,4.684572,0.937663
2.469439,-6.746203,-3.040595,3.035058
2.502376,-8.067700,-2.374085,0.946492
2.535777,-6.774336,-4.908139,2.630723
2.569330,-1.810231,-2.612915,0.573731
2.602396,-3.059300,-4.424044,-1.506306
2.636334,-4.451578,-0.613237,-0.193488
2.668613,-8.279595,-0.649750,-1.342896
2.702382,-14.744170,-4.660330,-2.782760
2.736289,-15.742737,-14.090829,3.334194
2.769072,-14.676980,-19.509849,3.309803
2.802430,-10.583198,-20.348598,7.762279
2.836335,-13.087772,-10.806914,6.975157
2.869133,-12.297508,-6.088223,3.590084
2.902529,-11.993583,0.219975,2.033797
2.937048,-11.394113,-9.285943,-2.381717
2.968867,-9.157999,-5.975393,-4.392619
3.002422,-10.179611,-3.992623,-7.837250
3.037049,-5.804800,-3.864529,-6.816087
3.068929,-8.122769,-3.082046,-6.160202
3.102451,-3.514963,-7.024539,-4.010730
3.137576,-2.571764,-9.672322,-11.637283
3.168864,-6.389006,-11.485844,-12.166720
3.202412,-12.101027,-2.465068,-6.499292
3.236766,-19.900716,-1.226025,-2.389050
3.268924,-15.437316,-0.196032,-1.619286
3.302731,-8.738250,2.145132,-2.334131
3.335980,-2.348945,2.286544,0.307666
3.369029,-1.636495,-0.506691,-0.030378
3.402776,1.573496,-1.179336,0.198726
3.435498,-2.255119,-3.689746,1.383599
3.469248,-3.140407,-1.833575,2.068066
3.502723,-2.265295,1.043161,1.870537
3.535572,-8.034330,-0.572384,0.772906
3.568954,-14.465086,-6.090169,0.537517
3.602406,-20.440179,-11.806380,4.671703
3.635743,-17.598310,-16.349539,-2.073602
3.669462,-13.617209,-19.309178,1.985612
3.702576,-11.329767,-12.650216,-0.132284
3.736149,-5.662339,-2.908909,-2.436935
3.769013,-9.823461,0.095173,-1.903458
3.802875,-12.464659,-0.295096,-3.132476
3.835556,-12.030994,-7.251847,-7.346122
3.869269,-11.296845,-2.261404,-5.327439
3.902250,-8.604619,0.033370,-5.141582
3.935550,-3.615374,-1.236350,-5.690472
3.969460,-1.755611,-4.046944,-6.365512
4.002269,-1.429090,-5.276560,-8.215547
4.035912,-3.222411,-2.464619,-4.763734
4.069755,-11.661525,-3.933814,-6.078347
4.102221,-14.825276,-1.795117,-1.039570
4.135766,-14.892466,-1.233656,-3.804522
4.169047,-12.217598,0.016610,-1.265231
4.202283,-10.489222,3.550877,-0.000299
4.235799,-3.871712,0.164757,1.026251
4.269000,-4.662425,-0.785925,-0.272500
4.302343,-3.971524,-1.613750,1.623027
4.335529,-0.909979,0.362136,1.156890
4.369072,-4.286672,-1.664927,-1.265081
4.402372,-3.394052,1.886848,-0.273996
4.435491,-20.268389,-15.006494,-2.807751
4.469521,-23.877178,-7.716787,1.777160
4.502030,-17.102094,-17.678070,-3.294090
4.535476,-14.078408,-16.968463,5.152207
4.569046,-8.657443,-12.973146,4.732159
4.602286,-5.126169,-5.342552,0.940207
4.635642,-11.952132,1.437769,0.825879
4.669104,-12.725487,-5.509105,-1.825345
4.702258,-8.044805,-8.618835,-5.552053
4.735658,-9.767794,-8.166465,-7.163258
4.769339,-6.566931,-4.841249,-8.243231
4.802190,-4.923552,-3.708302,-8.504209
4.835642,-0.277737,-3.348710,-8.931739
4.869106,0.622964,-2.223545,-8.516928
4.902191,-0.898606,-2.243297,-8.331670
4.935521,-13.054402,3.480096,-3.213133
4.969330,-9.261252,7.100857,-1.427594
5.002723,-9.105175,6.087176,-3.671190
5.035541,-11.044697,0.735046,1.858266
5.069107,-2.433793,1.950297,1.567360
5.102278,1.028795,-2.432596,-1.116037
5.135735,-3.858543,-0.400744,-0.153234
5.169152,-5.067658,0.009876,-1.036577
5.202381,-12.042516,0.928834,-0.908183
5.235747,-18.948688,-1.021014,1.651460
5.269436,-16.026909,-6.424172,0.855509
5.302213,-15.350074,-18.617528,7.418848
5.335580,-4.029436,-22.681980,9.522080
5.369055,2.466565,-21.848618,11.864291
5.401923,-6.242356,-5.163580,7.996769
5.435902,-12.885754,-13.639356,2.681901
5.468999,-15.346183,-3.397793,-1.626619
5.502360,-11.265271,-19.047452,-8.522615
5.535768,-8.244578,-11.952132,-16.354178
5.568962,-10.801078,-2.750437,-15.377608
5.602427,-13.667040,-7.312452,-13.062782
5.635637,6.554211,-6.613919,-13.283655
5.668850,10.045980,-3.340180,-12.769033
5.702400,5.241543,-1.908696,-8.505705
5.735472,-7.646006,0.174035,-5.131855
5.769056,-9.807000,2.987771,-2.683248
5.802405,-5.439970,-4.126404,0.802086
5.835530,-0.889927,-0.316495,1.738552
5.869456,-12.599038,5.856726,-3.134720
5.901901,-33.024253,3.601158,9.257362
5.935531,-12.552499,3.278527,0.936914
5.969084,-5.934989,-27.081483,5.615950
6.002243,-5.652313,-20.136853,11.776002
6.035522,3.414852,-13.121591,11.408329
6.069443,-6.739320,-7.576572,6.755032
6.103841,-10.359931,-3.686604,3.514963
6.135562,-14.827521,-16.048159,0.187802
6.169072,-14.430818,-12.039673,-5.295714
6.202213,-11.261380,-8.135040,-6.233527
6.235519,-9.263796,-9.342808,-11.103207
6.269441,-7.331756,-2.401769,-8.779402
6.302194,-5.895633,2.184937,-7.584952
6.335530,-6.547926,-1.383449,-8.931739
6.368905,-4.836161,-4.558423,-12.611758
6.402223,-15.979024,-2.738017,-7.539461
6.435532,-13.893599,-0.907884,-2.548120
6.469430,-12.293767,1.191457,-3.795244
6.502313,-11.277242,-0.491876,-1.064560
6.535852,-6.877440,0.462846,2.264397
6.569339,-3.496407,-2.740561,0.063598
6.602371,-1.982619,-0.032772,1.245778
6.635857,-4.253152,-0.714844,1.664927
6.669099,-1.267925,-0.264419,1.433879
6.702364,-7.383682,-3.020094,-1.403651
6.735523,-7.713495,-3.723715,-2.725746
6.769335,-9.661398,-7.678778,-0.977318
6.802268,-21.176572,-16.116994,5.782054
6.835779,-12.253812,-19.741047,2.514450
6.868892,-7.732201,-20.758470,5.804800
6.902327,-11.314952,-2.245392,4.826584
6.935515,-9.481227,-2.640899,3.628393
6.969339,-8.771621,-4.688463,-0.586600
7.002138,-8.235300,-7.367820,-2.878532
7.036221,-7.207104,-9.429152,-3.436850
7.069048,-7.554126,-6.120247,-6.614518
7.102339,-5.225532,-2.810145,-7.029926
7.136838,-6.153468,-1.265530,-8.529349
7.168616,-4.550941,-0.650498,-9.647032
7.202265,-8.605667,-0.111933,-9.194811
7.237027,-9.389047,-0.249305,-7.295094
7.268592,-12.149361,0.646158,-8.010387
7.302215,-17.023980,0.820193,1.642032
7.336508,-10.033709,3.358886,3.202658
7.368614,-3.491170,2.644490,0.103703
7.402875,-0.493373,-1.190859,0.511929
7.436384,-0.560413,-1.561823,0.597674
7.468956,-1.226623,-3.120953,2.007610
7.502798,-2.679656,-0.654089,1.028047
7.536157,-2.290884,-3.951921,-0.440399
7.568896,-8.089847,-1.074137,-1.030741
7.602773,-21.839041,-7.763027,-1.932489
7.635538,-24.732088,-6.235921,4.417161
7.668881,-21.733094,-10.200262,-0.943199
7.702485,-16.996745,-14.619517,-2.066719
7.735472,-7.563553,-12.917179,0.331309
7.768844,-0.800141,-7.863138,0.512377
7.802790,-5.487557,-1.817713,-0.365578
7.835575,-9.777969,-1.151502,1.529650
7.868923,-12.388790,-8.106757,-2.057740
7.902758,-8.380604,-6.235173,-5.366046
7.935520,-7.828571,-1.382252,-4.957372
7.968987,-7.507437,0.196481,-6.260163
8.002835,-7.027532,-4.047542,-6.938644
8.035527,-6.558401,-4.324382,-10.391356
8.069109,-5.591109,0.328466,-7.710054
8.102809,-8.195495,0.180769,-5.811384
8.135523,-11.128048,2.987322,-5.817370
8.168997,-13.672876,2.412244,-1.059322
8.202816,-10.228694,2.112659,-1.443456
8.235647,-5.069753,2.074949,0.665313
8.269102,-3.003334,0.667707,0.550087
8.302774,-2.322459,-3.204604,-0.347022
8.335249,-3.418144,-5.203085,1.785240
8.368811,-3.434006,-1.162875,0.387725
8.402796,-4.075526,-2.249732,-0.142011
8.435478,-5.662938,0.369917,0.404485
8.468916,-9.771385,-1.277053,-3.945037
8.502725,-19.929448,-6.532663,2.459980
8.535283,-23.706436,-8.774613,-0.273098
8.568804,-21.210391,-17.243806,-3.478600
8.602471,-10.246651,-17.352446,2.593911
8.635535,-6.136109,-7.173135,2.251977
8.668918,-7.368868,1.243982,-0.194087
8.702762,-9.530310,-2.903971,1.542819
