time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.018375,0.155030,5.360809,-7.756144
0.051889,-1.251464,5.712919,-7.725766
0.085524,-0.754051,5.684636,-8.098227
0.118376,-0.871221,5.434284,-8.384644
0.151874,0.234490,5.162831,-8.526057
0.185612,-0.191543,4.960065,-8.783143
0.218443,-0.136774,5.218947,-8.343791
0.251791,-0.273697,5.256508,-7.908480
0.285690,-0.968639,5.318011,-8.257148
0.318377,-1.216896,5.781904,-8.809331
0.352089,-1.186669,5.575846,-8.455275
0.385442,-1.397067,6.361172,-8.751718
0.418326,-1.509448,5.605326,-8.579928
0.451734,-1.923660,5.269676,-7.355849
0.485698,-1.229167,5.314270,-8.884002
0.518504,-0.945893,5.973298,-9.407753
0.551926,-1.877720,5.730577,-8.110797
0.585603,-2.015242,5.283743,-8.617788
0.618508,-2.444567,4.307323,-8.115436
0.652022,-2.181645,3.434006,-8.670163
0.685713,-1.859014,1.312369,-7.433064
0.718502,-1.664329,0.282676,-7.245263
0.751858,-1.446299,0.470926,-6.540295
0.785592,-0.736393,0.095622,-7.176427
0.818373,-1.967805,1.205075,-7.446532
0.851878,-5.411837,4.826883,-5.310529
0.885615,-9.216060,7.042646,-3.561053
0.918667,-9.453544,8.637840,-4.194641
0.951821,-9.849199,10.218967,-7.335348
0.985641,-10.723862,13.167981,-8.736006
1.018370,-8.943860,14.750904,-10.482638
1.051647,-4.045597,12.059276,-13.065326
1.085703,-0.301830,10.374446,-13.705049
1.118376,-0.027385,7.553826,-14.467031
1.151819,4.512782,7.957413,-15.512287
1.185646,3.631086,1.929795,-13.391996
1.218451,11.238784,1.143721,-18.095124
1.251817,3.359335,-0.533926,-12.953991
1.285485,1.308478,-2.223993,-9.139443
1.318511,-0.534076,-2.715720,-5.216403
1.351823,-1.155692,-4.493329,-2.997498
1.385631,-1.883556,-4.157530,-3.044336
1.418382,-1.423853,-0.688507,-0.733400
1.451817,-5.483067,-2.574607,1.454230
1.485790,-3.189490,-1.172901,2.463273
1.518376,-0.557270,0.004040,2.734126
1.551820,-1.418615,-1.357411,-1.557035
1.585645,-8.624971,0.855359,5.118687
1.618375,-11.337399,-4.873871,-8.759649
1.651823,-18.601965,4.697591,2.893945
1.685685,-19.868094,-0.929881,-0.235837
1.718406,-11.966647,16.522078,-1.319103
1.751818,-9.496641,17.121697,7.235685
1.785946,1.239792,27.213468,8.803495
1.818461,-3.151630,22.491634,9.342508
1.851690,-8.215398,19.856721,5.946960
1.885717,-6.111268,6.395590,-1.098529
1.918378,-8.588158,5.287634,-3.417546
1.951826,-4.527298,6.554660,-8.692759
1.985663,3.385971,3.011864,-11.535825
2.018514,-0.629548,6.771792,-13.815635
2.051331,-5.402110,8.170355,-12.518381
2.085762,-6.104385,15.343191,-15.174543
2.118374,-8.811276,1.571550,-11.442149
2.151922,-7.996171,-3.448522,-5.448051
2.185607,-9.525073,-2.987322,-3.730000
2.218593,-5.704988,2.508764,-0.474518
2.252132,-1.314763,2.534952,1.095386
2.285793,-0.638975,3.001987,-2.104578
2.318521,-3.577813,2.309290,3.825472
2.352139,-6.396637,2.667834,-2.210825
2.385626,-7.831863,7.347618,0.429026
2.418510,-14.188695,11.220079,2.267989
2.452494,-2.396981,29.890730,9.946467
2.485417,2.333831,29.986052,9.377824
2.518501,-1.566013,29.839552,9.640896
2.551952,-10.550576,11.690855,11.709112
2.586461,-10.929173,2.963679,2.035294
2.618486,-9.237609,9.443368,-2.632519
2.652347,-1.970049,10.110626,-8.858563
2.685467,2.555004,14.572380,-17.205048
2.718403,-4.528644,15.047496,-19.412132
2.752315,4.533433,9.588671,-21.591233
2.785179,8.930242,1.001411,-16.104574
2.818847,4.757449,-3.795993,-10.866323
2.851996,-3.424579,-4.260933,-0.115674
2.886281,-5.045362,3.821731,2.649428
2.918492,-2.809247,3.679271,2.988070
2.951928,-3.863631,3.177069,0.436209
2.986066,-1.699944,4.566803,0.680277
3.018363,-1.247873,1.177391,-2.195861
3.052238,-10.544291,7.927185,-7.167748
3.085926,-22.113337,5.682990,1.965261
3.118495,-10.750948,18.138371,-3.176620
3.152333,-7.390416,24.645595,9.087966
3.185535,-0.228804,26.076032,6.108425
3.218360,-1.166916,22.337801,11.812066
